Cards_on_table,Number_of_wins,Success_rate
1,203,0.0203
2,481,0.0481
3,734,0.0734
4,1059,0.1059
5,1352,0.1352
6,1650,0.165
7,1911,0.1911
8,2267,0.2267
9,2579,0.2579
10,2853,0.2853
11,3145,0.3145
12,3452,0.3452
13,3663,0.3663
14,4001,0.4001
15,4333,0.4333
16,4530,0.453
17,4897,0.4897
18,5215,0.5215
19,5507,0.5507
20,5667,0.5667
21,6026,0.6026
22,6362,0.6362
23,6608,0.6608
24,6958,0.6958
25,7219,0.7219
26,7507,0.7507
27,7771,0.7771
28,8100,0.81
29,8323,0.8323
30,8543,0.8543
31,8750,0.875
32,8962,0.8962
33,9105,0.9105
34,9278,0.9278
35,9439,0.9439
36,9535,0.9535
37,9651,0.9651
38,9660,0.966
39,9698,0.9698
40,9733,0.9733
41,9740,0.974
42,9778,0.9778
43,9748,0.9748
44,9739,0.9739
45,9769,0.9769
46,9777,0.9777
47,9769,0.9769
48,9746,0.9746
49,9804,0.9804
50,9754,0.9754
51,9778,0.9778
52,9784,0.9784
