Cards_on_table,Number_of_wins,Success_rate
1,191,0.0191
2,479,0.0479
3,795,0.0795
4,1069,0.1069
5,1343,0.1343
6,1681,0.1681
7,1962,0.1962
8,2354,0.2354
9,2684,0.2684
10,2920,0.292
11,3236,0.3236
12,3626,0.3626
13,3953,0.3953
14,4358,0.4358
15,4654,0.4654
16,5028,0.5028
17,5384,0.5384
18,5635,0.5635
19,6035,0.6035
20,6337,0.6337
21,6749,0.6749
22,7030,0.703
23,7384,0.7384
24,7845,0.7845
25,8009,0.8009
26,8346,0.8346
27,8641,0.8641
28,8877,0.8877
29,9051,0.9051
30,9163,0.9163
31,9373,0.9373
32,9488,0.9488
33,9582,0.9582
34,9648,0.9648
35,9682,0.9682
36,9733,0.9733
37,9736,0.9736
38,9760,0.976
39,9720,0.972
40,9743,0.9743
41,9733,0.9733
42,9724,0.9724
43,9726,0.9726
44,9734,0.9734
45,9746,0.9746
46,9749,0.9749
47,9756,0.9756
48,9751,0.9751
49,9749,0.9749
50,9753,0.9753
51,9757,0.9757
52,9756,0.9756
